word,bias_x,bias_y
가이드라인,0.01909206033276136,-0.0006556196059071193
가이드북,0.01918388628796578,0.010275500151834302
가인,0.029775354416092314,0.001918564280512643
가입,-0.24274776570735268,0.15286169517217688
가입국,-0.011535638785018173,0.00012995090872192615
가입률,-0.10357691051239408,-0.00031108740599041277
가입자,0.05529568995354892,0.06828081378627082
가자,0.06461778512492786,-0.02234124427281914
가장,0.020802436556852377,-0.02990285050919681
가장이,-0.001150794582977224,0.01102542471445505
가재,-0.030858050252627115,0.010616189710589844
가전,-0.06198798755590055,0.0428048928693716
가전제품,-0.015209291795618779,-0.009983975331025158
가점,0.03899630750933538,-0.021862372612618003
가정,0.12750533046537918,-0.3750788129905799
가정용,-0.033172594616069924,0.06990592496621033
가정적,-0.03320539464892925,0.0010789843323039646
가정집,-0.039591069078440067,0.0010231001037180124
