word,bias_score
피살,0.37839902469581954
지원,0.3775972737519102
농민,-0.37609229536622496
분권,-0.3756802965001802
근거,-0.37463232348600417
진료,-0.3744673950442037
사격,0.3733549205029368
인사,0.37267382684179706
소방,-0.37257054605715617
장애인,-0.3725431775505922
논란,0.3721388861778195
시멘트,-0.3716338763115736
인국,0.37140183094407936
경우,-0.3698744741723745
운용,0.36902617554450445
홍수,0.3678370804528448
요양,-0.36723711234105905
공개,-0.3667809534140396
휴직,-0.36677967156664876
동구,-0.36580761404462886
보이,-0.36535780411627944
연봉,0.3651828228454071
풍력,0.3651792004163882
준비,-0.36367412705156144
참고인,-0.36326087834126664
택시,-0.36298649587890724
도입,-0.36296816353513894
양이,-0.36195140495216455
증서,0.36194974412123004
구체적,-0.36079018960220544
제작사,-0.3607640742036704
