"party","name","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"더불어민주당","김영진",1020,7,1,0,0.956058263778687,0.992217898832685,-0.387834697961807,0.249839559197426,0,0,0
"더불어민주당","김영호",1103,19,3,6,0.925440073013306,0.980548187444739,-0.497883826494217,0.0404647141695023,0,0,0
"국민의힘","김예지",830,73,2,13,0.751931428909302,0.918300653594771,0.17813116312027,0.183350905776024,0,0,0
"더불어민주당","김용민",944,40,1,5,0.883500039577484,0.958585858585859,-0.602038502693176,0.236468181014061,0,0,0
"국민의힘","김용판",681,117,41,77,0.680813014507294,0.827510917030568,0.547142148017883,-0.50672721862793,0,0,0
"국민의힘","김웅",385,177,82,297,0.562442421913147,0.724760892667375,0.926222324371338,-0.376977801322937,0,0,0
"더불어민주당","김원이",942,39,4,8,0.878807902336121,0.956696878147029,-0.594900906085968,0.046268567442894,0,0,0
"더불어민주당","김윤덕",881,9,1,5,0.941448390483856,0.988839285714286,-0.47055384516716,0.0298872254788876,0,0,0
"국민의힘","김은혜",110,49,21,78,0.581839680671692,0.728682170542636,0.811622798442841,-0.584181845188141,0,0,0
"국민의힘","김정재",840,62,0,36,0.811628758907318,0.933901918976546,0.327471971511841,0.30943700671196,0,0,0
"더불어민주당","김정호",986,11,1,0,0.944160401821136,0.987975951903808,-0.386985182762146,0.263351619243622,0,0,0
"무소속","김종민",562,15,1,1,0.910158276557922,0.972366148531952,-0.447740316390991,0.221373021602631,0,0,0
"더불어민주당","김주영",1018,43,1,2,0.857532560825348,0.958646616541353,-0.321769773960114,-0.00276263640262187,0,0,0
"열린민주당","김진애",163,4,0,0,0.905868709087372,0.976047904191617,-0.397697418928146,0.140287756919861,0,0,0
"무소속","김진표",845,10,0,0,0.932812988758087,0.988304093567251,-0.371224373579025,0.409039497375488,0,0,0
"더불어민주당","김철민",1015,48,1,1,0.852971255779266,0.953990610328639,-0.555120289325714,0.388732552528381,0,0,0
"더불어민주당","김태년",721,7,0,1,0.957286655902863,0.99039780521262,-0.402366131544113,0.273293644189835,0,0,0
"국민의힘","김태호",179,9,0,4,0.866699516773224,0.953125,0.166693523526192,-0.088908813893795,0,0,0
"국민의힘","김태흠",172,43,18,59,0.614393055438995,0.791095890410959,0.695642948150635,-0.013485437259078,0,0,0
"더불어민주당","김한정",730,15,0,1,0.936482906341553,0.979892761394102,-0.458405822515488,0.182733565568924,0,0,0
"국민의힘","김형동",764,82,7,34,0.756336331367493,0.899661781285231,0.389815837144852,0.255541622638702,0,0,0
"더불어민주당","김홍걸",761,21,5,18,0.914487540721893,0.967701863354037,-0.599527955055237,-0.308519691228867,0,0,0
"더불어민주당","김회재",1011,5,1,0,0.958958208560944,0.994100294985251,-0.317622989416122,0.331381618976593,0,0,0
